repo,category,n_commits,entropy_norm,awr,n_contributors
scrapy,onboarding_process,46,0.6979715507869847,0.39344262295081966,14
scrapy,governance_policy,27,0.5696668671952819,0.2459016393442623,10
scrapy,change_tracking,0,,,0
scrapy,legal_attribution,22,0.48243454219591647,0.18032786885245902,6
shadowsocks-android,onboarding_process,7,0.3770064704210691,0.08196721311475409,2
shadowsocks-android,governance_policy,0,,,0
shadowsocks-android,change_tracking,3,0.2672454385532547,0.04918032786885246,2
shadowsocks-android,legal_attribution,1,0.0,0.01639344262295082,1
shadowsocks-windows,onboarding_process,4,0.25291964803425165,0.04918032786885246,3
shadowsocks-windows,governance_policy,0,,,0
shadowsocks-windows,change_tracking,0,,,0
shadowsocks-windows,legal_attribution,1,0.0,0.01639344262295082,1
socket.io,onboarding_process,109,0.7433913921105494,0.5409836065573771,26
socket.io,governance_policy,9,0.3471429896737306,0.08196721311475409,2
socket.io,change_tracking,240,0.8184870102296716,0.6065573770491803,3
socket.io,legal_attribution,10,0.3306442244581849,0.08196721311475409,2
spark,onboarding_process,24,0.6581149941748579,0.29508196721311475,11
spark,governance_policy,0,,,0
spark,change_tracking,0,,,0
spark,legal_attribution,13,0.4487176053835096,0.11475409836065574,6
spring-boot,onboarding_process,57,0.7213254764157166,0.39344262295081966,27
spring-boot,governance_policy,8,0.3372261973790022,0.08196721311475409,5
spring-boot,change_tracking,0,,,0
spring-boot,legal_attribution,4,0.0,0.01639344262295082,1
spring-framework,onboarding_process,30,0.7107144984328645,0.32786885245901637,18
spring-framework,governance_policy,8,0.3793794720513775,0.08196721311475409,7
spring-framework,change_tracking,0,,,0
spring-framework,legal_attribution,2,0.0,0.01639344262295082,1
symfony,onboarding_process,86,0.7716225920182452,0.6065573770491803,37
symfony,governance_policy,31,0.3458204919892922,0.13114754098360656,18
symfony,change_tracking,9,0.4220821446468422,0.09836065573770492,3
symfony,legal_attribution,108,0.8969156881378159,0.9508196721311475,20
terraform,onboarding_process,58,0.7541028089138104,0.4426229508196721,25
terraform,governance_policy,9,0.2795171379459715,0.06557377049180328,2
terraform,change_tracking,507,0.9110234470667081,0.9016393442622951,41
terraform,legal_attribution,19,0.4502542514095605,0.13114754098360656,5
three.js,onboarding_process,49,0.7380835091732025,0.39344262295081966,16
three.js,governance_policy,5,0.3240622515373677,0.06557377049180328,4
three.js,change_tracking,0,,,0
three.js,legal_attribution,10,0.3643668441960851,0.09836065573770492,5
