repo,n_issues_sampled,median_issue_close_hours,n_prs_sampled,median_pr_merge_hours,issues_total_closed,prs_total_merged,entropy_norm,active_window_rate,unique_contributors_for_metrics,log_contributors,log_issue_close,log_pr_merge
java-design-patterns,100,8747.201944444445,100,20.067777777777778,856,1564,0.6872714835628879,0.3442622950819672,122,4.812184355372417,9.07660346617178,3.047744753709893
symfony,100,197.89722222222224,100,61.36944444444445,21814,26211,0.9228714908654256,0.9836065573770492,1599,7.3777589082278725,5.292788220062165,4.133075483082045
dubbo,100,368.9187500000001,100,130.46833333333333,6587,6129,0.7755033372766229,0.4754098360655737,208,5.342334251964811,5.913283386929253,4.8787660114647995
jenkins,100,101.72694444444446,100,58.024166666666666,11171,9568,0.8082319631819973,0.5245901639344263,173,5.159055299214529,4.63207444322936,4.0779469645604625
node,100,6402.751805555556,100,93.19666666666666,19236,12807,0.962780697231144,1.0,991,6.899723107284872,8.764639317206221,4.545384795252053
kubernetes,100,3617.086944444444,100,156.96944444444443,47517,65310,0.6703075505865258,0.2786885245901639,2019,7.61085279039525,8.19370069674567,5.062401624732664
qmk_firmware,100,733.3254166666667,100,236.9351388888889,3135,17607,0.7600122078091428,0.3934426229508196,1109,7.01211529430638,6.598952277322603,5.471998110852667
darknet,100,135.7073611111111,10,41.075833333333335,562,10,0.4748013448513826,0.1475409836065573,1,0.6931471805599453,4.917842590934916,3.7394735457828943
HanLP,100,17.374444444444443,79,8.438888888888888,1416,79,0.7242534624510166,0.4262295081967213,9,2.302585092994046,2.9109608103258857,2.2448382707817216
electron,100,643.9263888888888,100,61.73097222222222,21001,26150,0.8304395001888613,0.5409836065573771,307,5.730099782973574,6.4691361845292725,4.138855300509549
openssl,100,1532.2840277777775,100,0.4220833333333333,10423,148,0.7836509650303464,0.4590163934426229,689,6.536691597591305,7.335167137494967,0.35212293257067
vscode,100,69.94972222222222,100,1.7977777777777777,231073,50011,0.7114677386865149,0.3442622950819672,1325,7.189922170745808,4.261971488478193,1.0288254512799817
echarts,100,17748.29388888889,100,28.075694444444444,17930,1516,0.6202330303063626,0.2622950819672131,154,5.043425116919247,9.784101013204612,3.3699025827091584
reveal.js,100,105.39375,100,76.13625,1710,415,0.593864642523777,0.2295081967213114,50,3.9318256327243257,4.667146834580744,4.3455733386868465
AspNetCore.Docs,100,146.93027777777775,100,5.563750000000001,16334,17972,0.696989337819305,0.3114754098360656,521,6.257667587882639,4.99674106666739,1.881562085969932
shadowsocks-windows,100,40.62152777777778,100,8.110416666666666,2728,290,0.2529196480342516,0.0491803278688524,10,2.3978952727983707,3.7286175280711538,2.2094184475109837
react,100,1567.5593055555555,100,23.42194444444444,13768,12969,0.7677425728022537,0.4754098360655737,323,5.780743515792329,7.357912837279698,3.195482090592275
axios,100,11390.410555555554,100,17.041111111111114,4994,1433,0.8074911673397316,0.7049180327868853,172,5.153291594497779,9.340614890349924,2.892653104262804
elasticsearch,100,85.5175,100,17.853472222222223,41372,93322,0.8915496583597049,0.7213114754098361,595,6.39024066706535,4.460346705614221,2.936697099701182
protobuf,100,603.7434722222222,100,24.84652777777778,6761,9433,0.6870475799638535,0.3114754098360656,551,6.313548046277095,6.4048043552561404,3.2521762699896057
zxing,100,4.628055555555555,100,8.83111111111111,1347,384,0.5952873742016478,0.2131147540983606,25,3.258096538021482,1.7277640104819498,2.285551960437805
godot,100,376.02486111111114,100,79.07013888888889,49521,42904,0.8742944353630595,0.7213114754098361,1796,7.493873886783559,5.932311129865568,4.38290298667638
spark,36,548.8002777777778,8,33.61597222222222,36,8,0.7148989017830899,0.3770491803278688,1033,6.9411900550683745,6.309555080965244,3.5443152004673917
pandas,100,6709.015694444444,100,51.69875,25587,29073,0.8051040409332259,0.4918032786885246,834,6.727431724850855,8.811356568926396,3.9645917361009273
AdminLTE,100,26379.48388888889,100,128.2336111111111,2921,1569,0.6144959087119523,0.2622950819672131,21,3.091042453358316,10.180379769123881,4.8616217054347155
react-router,100,567.8351388888889,100,1.048888888888889,8284,3614,0.894745948419439,0.8360655737704918,380,5.942799375126701,6.343590653811714,0.7172976407922285
ant-design,100,579.4244444444444,100,2.110138888888889,31563,17977,0.9726613965447332,1.0,824,6.715383386334681,6.36375963667113,1.1346673840006847
rails,100,1261.536388888889,100,6.1161111111111115,18141,26584,0.7079516285291358,0.360655737704918,1480,7.300472814267799,7.140877983616432,1.96236138394688
spring-boot,100,0.8506944444444444,100,38.593333333333334,42069,157,0.7307287652409399,0.4098360655737705,575,6.3561076606958915,0.6155609440298986,3.6786607539196043
