repo,n_newcomers,n_retained,retention_rate,unique_contributors_for_metrics,archetype,entropy_norm,active_window_rate,health_docs_touch_bus50,reactive_rate,log_contributors,log_bus50
socket.io,134,9,0.06716417910447761,104,Consistent,0.832709763456306,0.7213114754098361,1,0.1404,4.653960350157523,0.6931471805599453
spark,930,407,0.4376344086021505,1033,Occasional,0.7148989017830899,0.3770491803278688,3,1.0,6.9411900550683745,1.3862943611198906
spring-boot,591,102,0.17258883248730963,575,Occasional,0.7307287652409399,0.4098360655737705,5,0.0847,6.3561076606958915,1.791759469228055
spring-framework,583,110,0.18867924528301888,556,Occasional,0.7034303892605933,0.3278688524590163,5,0.0857,6.322565239927284,1.791759469228055
symfony,1462,358,0.2448700410396717,1599,Consistent,0.9228714908654256,0.9836065573770492,1,0.0809,7.3777589082278725,0.6931471805599453
terraform,511,110,0.21526418786692758,377,Consistent,0.9190458265163766,0.918032786885246,4,0.1085,5.934894195619588,1.6094379124341003
three.js,736,165,0.22418478260869565,599,Occasional,0.7815263323291296,0.4754098360655737,3,0.3438,6.396929655216146,1.3862943611198906
todomvc,9,2,0.2222222222222222,8,Sparse,0.1548367060935873,0.0327868852459016,1,1.0,2.1972245773362196,0.6931471805599453
vscode,1213,329,0.27122835943940643,1325,Occasional,0.7114677386865149,0.3442622950819672,8,0.5,7.189922170745808,2.1972245773362196
youtube-dl,128,13,0.1015625,100,Sparse,0.5631586708702783,0.2786885245901639,1,0.1154,4.61512051684126,0.6931471805599453
zxing,30,7,0.23333333333333334,25,Sparse,0.5952873742016478,0.2131147540983606,2,0.5556,3.258096538021482,1.0986122886681098
