repo,longest_dormancy_gap_months,h1_doc_commits,h2_doc_commits,h1_entropy,h1_awr,went_dormant_h2,h2_decline_ratio,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50
pdf.js,7,13,16,0.6914251182786031,0.36666666666666664,0,0.21428571428571427,0.7260913124448205,0.360655737704918,98,10,2,29,4.59511985013459,3.4011973816621555,0.10204081632653061,1.0986122886681098
protobuf,13,26,6,0.7258379462115416,0.43333333333333335,0,-0.7407407407407407,0.6870475799638535,0.3114754098360656,551,19,4,37,6.313548046277095,3.6375861597263857,0.034482758620689655,1.6094379124341003
qmk_firmware,2,18,25,0.6827560068484526,0.36666666666666664,0,0.3684210526315789,0.7600122078091428,0.3934426229508196,1109,7,1,43,7.01211529430638,3.784189633918261,0.0063119927862939585,0.6931471805599453
rails,11,43,8,0.7816393743686917,0.5666666666666667,0,-0.7954545454545454,0.7079516285291358,0.360655737704918,1480,24,11,52,7.300472814267799,3.970291913552122,0.016216216216216217,2.4849066497880004
react,4,37,30,0.723558873325981,0.4666666666666667,0,-0.18421052631578946,0.7677425728022537,0.4754098360655737,323,40,7,67,5.780743515792329,4.219507705176107,0.1238390092879257,2.0794415416798357
react-native,3,51,165,0.8807136403852833,0.7666666666666667,0,2.1923076923076925,0.9024702583231397,0.8852459016393442,1233,54,7,221,7.1180162044653335,5.402677381872279,0.043795620437956206,2.0794415416798357
react-router,9,179,395,0.7752717825684426,0.6666666666666666,0,1.2,0.894745948419439,0.8360655737704918,380,395,109,747,5.942799375126701,6.617402977974478,1.0394736842105263,4.700480365792417
redis,6,26,42,0.7402227644573672,0.4666666666666667,0,0.5925925925925926,0.6867997988061347,0.4590163934426229,335,30,4,68,5.817111159963204,4.23410650459726,0.08955223880597014,1.6094379124341003
reveal.js,13,20,4,0.641228754414651,0.36666666666666664,0,-0.7619047619047619,0.593864642523777,0.2295081967213114,50,1,1,24,3.9318256327243257,3.2188758248682006,0.02,0.6931471805599453
rust,0,1036,731,0.9708966260449111,1.0,0,-0.29411764705882354,0.9753631056026502,1.0,3638,426,19,1772,8.19946419761216,7.480428306074208,0.1170973062122045,2.995732273553991
scrapy,7,31,20,0.6937066990695376,0.5,0,-0.34375,0.7107246215028619,0.4098360655737705,165,13,2,51,5.111987788356544,3.9512437185814275,0.07878787878787878,1.0986122886681098
shadowsocks-android,19,7,2,0.4556707159173473,0.16666666666666666,0,-0.625,0.459551722133398,0.1147540983606557,8,2,1,9,2.1972245773362196,2.302585092994046,0.25,0.6931471805599453
shadowsocks-windows,54,4,0,0.3056925706357593,0.1,1,-0.8,0.2529196480342516,0.0491803278688524,10,2,1,4,2.3978952727983707,1.6094379124341003,0.2,0.6931471805599453
socket.io,9,252,96,0.8523950353072637,0.8333333333333334,0,-0.616600790513834,0.832709763456306,0.7213114754098361,104,27,1,349,4.653960350157523,5.857933154483459,0.25961538461538464,0.6931471805599453
spark,9,16,21,0.6940523730603417,0.4,0,0.29411764705882354,0.7148989017830899,0.3770491803278688,1033,14,3,37,6.9411900550683745,3.6375861597263857,0.013552758954501452,1.3862943611198906
spring-boot,6,37,22,0.6919687821213937,0.4666666666666667,0,-0.39473684210526316,0.7307287652409399,0.4098360655737705,575,27,5,59,6.3561076606958915,4.0943445622221,0.04695652173913043,1.791759469228055
spring-framework,8,14,21,0.6193634467055357,0.3,0,0.4666666666666667,0.7034303892605933,0.3278688524590163,556,17,5,35,6.322565239927284,3.58351893845611,0.030575539568345324,1.791759469228055
symfony,1,105,68,0.8861810312373731,0.9666666666666667,0,-0.3490566037735849,0.9228714908654256,0.9836065573770492,1599,23,1,173,7.3777589082278725,5.159055299214529,0.014383989993746092,0.6931471805599453
terraform,1,290,269,0.8752984034373315,0.8333333333333334,0,-0.07216494845360824,0.9190458265163766,0.918032786885246,377,55,4,562,5.934894195619588,6.333279628139691,0.14588859416445624,1.6094379124341003
three.js,4,47,17,0.8291301960710011,0.6666666666666666,0,-0.625,0.7815263323291296,0.4754098360655737,599,23,3,64,6.396929655216146,4.174387269895637,0.038397328881469114,1.3862943611198906
todomvc,38,1,2,0.0,0.03333333333333333,0,0.5,0.1548367060935873,0.0327868852459016,8,1,1,3,2.1972245773362196,1.3862943611198906,0.125,0.6931471805599453
