repo,n_established_doc_contributors,doc_contributor_loss_rate_all,n_top_established,doc_contributor_loss_rate_top,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50,h1_bus50,h1_n_doc_contributors,h1_doc_commits,log_h1_bus50,log_h1_commits
TypeScript,19,0.9473684210526316,19,0.9473684210526316,0.7761355199764771,0.4426229508196721,260,26,7,40,5.564520407322694,3.713572066704308,0.1,2.0794415416798357,6,19,28,1.9459101490553132,3.367295829986474
Vue-core,24,0.9166666666666666,24,0.9166666666666666,0.8910823611578284,0.8688524590163934,308,42,1,320,5.733341276897746,5.771441123130016,0.1363636363636363,0.6931471805599453,1,24,160,0.6931471805599453,5.081404364984463
WordPress,3,0.0,1,,0.7618609389563106,0.4098360655737705,61,7,2,31,4.127134385045092,3.4657359027997265,0.1147540983606557,1.0986122886681098,1,3,15,0.6931471805599453,2.772588722239781
airflow,98,0.8775510204081632,35,0.6571428571428571,0.9517714861438265,1.0,1389,135,6,568,7.237059026124737,6.343880434126331,0.0971922246220302,1.9459101490553132,6,98,376,1.9459101490553132,5.932245187448011
angular,53,0.8301886792452831,14,0.3571428571428571,0.9888412870279784,1.0,1023,88,5,697,6.931471805599453,6.548219102762372,0.086021505376344,1.791759469228055,5,53,354,1.791759469228055,5.872117789475416
animate.css,6,1.0,3,1.0,0.4942402237821651,0.1475409836065573,17,7,2,13,2.8903717578961645,2.6390573296152584,0.4117647058823529,1.0986122886681098,2,6,12,1.0986122886681098,2.5649493574615367
ansible,8,0.875,3,0.6666666666666666,0.6275124848977414,0.2295081967213114,498,15,6,19,6.212606095751519,2.995732273553991,0.0301204819277108,1.9459101490553132,3,8,10,1.3862943611198906,2.3978952727983707
ant-design,30,0.6666666666666666,8,0.125,0.9726613965447332,1.0,824,55,4,568,6.715383386334681,6.343880434126331,0.0667475728155339,1.6094379124341005,3,30,274,1.3862943611198906,5.616771097666572
ardupilot,18,1.0,18,1.0,0.7051409591642314,0.3278688524590163,492,21,8,28,6.20050917404269,3.367295829986474,0.0426829268292682,2.1972245773362196,6,18,24,1.9459101490553132,3.2188758248682006
aspnetcore,18,0.8888888888888888,6,0.6666666666666666,0.71489890178309,0.360655737704918,454,21,5,37,6.12029741895095,3.6375861597263857,0.0462555066079295,1.791759469228055,5,18,27,1.791759469228055,3.332204510175204
axios,59,0.9661016949152542,59,0.9661016949152542,0.8074911673397316,0.7049180327868853,172,82,5,226,5.153291594497779,5.424950017481403,0.4767441860465116,1.791759469228055,5,59,107,1.791759469228055,4.68213122712422
bitcoin,14,0.7142857142857143,4,0.25,0.8734936734862313,0.6721311475409836,377,23,3,66,5.934894195619588,4.204692619390966,0.0610079575596817,1.3862943611198906,2,14,33,1.0986122886681098,3.5263605246161616
bootstrap,21,0.8571428571428571,6,0.5,0.8630245209581516,0.6885245901639344,257,27,1,89,5.552959584921617,4.499809670330265,0.1050583657587548,0.6931471805599453,1,21,55,0.6931471805599453,4.02535169073515
core,14,0.8571428571428571,14,0.8571428571428571,0.7444371181707646,0.3770491803278688,1826,21,8,30,7.510430556378006,3.4339872044851463,0.0115005476451259,2.1972245773362196,6,14,18,1.9459101490553132,2.9444389791664403
d3,3,0.3333333333333333,1,,0.5461211772250886,0.1639344262295081,10,3,1,13,2.3978952727983707,2.6390573296152584,0.3,0.6931471805599453,1,3,6,0.6931471805599453,1.9459101490553132
django,86,0.9883720930232558,86,0.9883720930232558,0.9231480685272992,0.8524590163934426,870,162,77,172,6.769641976852503,5.153291594497779,0.1862068965517241,4.356708826689592,41,86,87,3.7376696182833684,4.477336814478207
dubbo,7,0.5714285714285714,2,,0.7755033372766229,0.4754098360655737,208,24,3,51,5.342334251964811,3.951243718581427,0.1153846153846153,1.3862943611198906,2,7,18,1.0986122886681098,2.9444389791664403
echarts,7,0.8571428571428571,3,0.6666666666666666,0.6202330303063626,0.2622950819672131,154,9,2,30,5.043425116919247,3.4339872044851463,0.0584415584415584,1.0986122886681098,2,7,25,1.0986122886681098,3.258096538021482
elasticsearch,32,0.84375,9,0.4444444444444444,0.8915496583597049,0.7213114754098361,595,47,8,89,6.39024066706535,4.499809670330265,0.0789915966386554,2.1972245773362196,6,32,60,1.9459101490553132,4.110873864173311
electron,15,0.6666666666666666,5,0.2,0.8304395001888613,0.5409836065573771,307,21,4,44,5.730099782973574,3.80666248977032,0.0684039087947882,1.6094379124341005,4,15,26,1.6094379124341003,3.295836866004329
erpnext,13,0.8461538461538461,5,0.6,0.589591190282785,0.2786885245901639,280,18,2,42,5.638354669333745,3.7612001156935624,0.0642857142857142,1.0986122886681098,4,13,19,1.6094379124341003,2.995732273553991
etcd,26,0.8461538461538461,7,0.4285714285714285,0.8652303382562401,0.6885245901639344,444,46,5,105,6.09807428216624,4.663439094112067,0.1036036036036036,1.791759469228055,4,26,57,1.6094379124341003,4.060443010546419
flask,8,0.875,2,,0.6243438750292691,0.2459016393442623,138,8,1,32,4.9344739331306915,3.49650756146648,0.0579710144927536,0.6931471805599453,2,8,17,1.0986122886681098,2.8903717578961645
flink,13,0.8461538461538461,13,0.8461538461538461,0.7653196402426686,0.4098360655737705,882,24,8,32,6.78332520060396,3.49650756146648,0.0272108843537414,2.1972245773362196,5,13,16,1.791759469228055,2.833213344056216
flutter,57,0.912280701754386,57,0.912280701754386,0.9204395012412848,0.8688524590163934,978,109,27,166,6.88653164253051,5.117993812416755,0.1114519427402863,3.332204510175204,15,57,82,2.772588722239781,4.418840607796598
framework,15,0.6666666666666666,4,0.0,0.903460751929737,0.819672131147541,1317,22,2,402,7.183870715062453,5.998936561946683,0.0167046317388003,1.0986122886681098,1,15,92,0.6931471805599453,4.532599493153256
gitignore,5,1.0,5,1.0,0.4251816414752122,0.0983606557377049,213,8,4,9,5.365976015021851,2.302585092994046,0.0375586854460093,1.6094379124341005,3,5,5,1.3862943611198906,1.791759469228055
go,33,0.9696969696969696,33,0.9696969696969696,0.7105393331015678,0.3770491803278688,1079,35,14,46,6.984716320118266,3.8501476017100584,0.0324374420759962,2.70805020110221,13,33,42,2.6390573296152584,3.7612001156935624
go-ethereum,23,0.782608695652174,7,0.2857142857142857,0.8289409144156485,0.5409836065573771,416,36,10,53,6.0330862217988015,3.9889840465642745,0.0865384615384615,2.3978952727983707,9,23,29,2.302585092994046,3.4011973816621555
godot,13,0.7692307692307693,5,0.4,0.8742944353630595,0.7213114754098361,1796,22,1,81,7.493873886783559,4.406719247264253,0.0122494432071269,0.6931471805599453,1,13,49,0.6931471805599453,3.912023005428146
grafana,50,0.86,15,0.7333333333333333,0.9089114652785945,0.9016393442622952,980,75,1,501,6.8885724595653635,6.218600119691729,0.0765306122448979,0.6931471805599453,1,50,239,0.6931471805599453,5.480638923341991
grpc,27,0.925925925925926,7,0.7142857142857143,0.8398444888862241,0.6885245901639344,387,35,4,160,5.961005339623274,5.081404364984463,0.0904392764857881,1.6094379124341005,4,27,139,1.6094379124341003,4.941642422609304
guava,4,0.75,1,,0.7621185979271853,0.4426229508196721,114,8,1,48,4.74493212836325,3.8918202981106265,0.0701754385964912,0.6931471805599453,1,4,12,0.6931471805599453,2.5649493574615367
homebrew-cask,12,0.8333333333333334,3,0.6666666666666666,0.7117241539072521,0.360655737704918,3456,21,5,40,8.148156439921625,3.713572066704308,0.0060763888888888,1.791759469228055,3,12,24,1.3862943611198906,3.2188758248682006
html5-boilerplate,8,0.75,2,,0.7409283209082461,0.3934426229508196,18,14,2,42,2.9444389791664403,3.7612001156935624,0.7777777777777778,1.0986122886681098,1,8,21,0.6931471805599453,3.091042453358316
