repo,year,entropy_norm,active_month_rate,health_file_commits,valid,archetype
go-ethereum,2,0.681741,0.538462,21,True,Occasional
go-ethereum,3,0.787468,0.615385,11,True,Occasional
go-ethereum,4,0.818994,0.692308,16,True,Consistent
go-ethereum,5,0.676476,0.461538,9,True,Occasional
go-ethereum,6,0.862032,0.769231,15,True,Consistent
go-ethereum,7,0.719165,0.538462,13,True,Occasional
go-ethereum,8,0.370483,0.230769,5,True,Sparse
go-ethereum,9,0.738334,0.538462,11,True,Occasional
opencv,1,0.219238,0.153846,4,True,Sparse
opencv,3,0.270238,0.153846,4,True,Sparse
opencv,4,0.582536,0.384615,8,True,Sparse
opencv,5,0.3726,0.230769,7,True,Sparse
opencv,6,0.248159,0.153846,3,True,Sparse
opencv,8,0.540476,0.307692,4,True,Sparse
socket.io,1,0.822121,0.769231,121,True,Consistent
socket.io,2,0.6825,0.538462,24,True,Occasional
socket.io,3,0.321238,0.230769,12,True,Sparse
socket.io,4,0.524087,0.384615,20,True,Sparse
socket.io,5,0.836586,0.769231,155,True,Consistent
socket.io,6,0.836151,0.846154,73,True,Consistent
socket.io,7,0.805624,0.692308,56,True,Consistent
socket.io,8,0.877559,0.923077,39,True,Consistent
socket.io,9,0.324532,0.230769,21,True,Sparse
socket.io,10,0.608476,0.384615,6,True,Sparse
shadowsocks-android,1,0.792887,0.769231,38,True,Consistent
shadowsocks-android,2,0.639372,0.461538,20,True,Occasional
shadowsocks-android,3,0.67105,0.615385,26,True,Occasional
shadowsocks-android,4,0.370483,0.230769,5,True,Sparse
shadowsocks-android,5,0.248159,0.153846,3,True,Sparse
shadowsocks-android,6,0.428317,0.230769,3,True,Sparse
spring-framework,1,0.497879,0.307692,7,True,Sparse
spring-framework,2,0.326996,0.384615,22,True,Sparse
spring-framework,3,0.62,0.461538,19,True,Occasional
spring-framework,4,0.645842,0.461538,15,True,Occasional
spring-framework,5,0.411283,0.230769,5,True,Sparse
spring-framework,6,0.219238,0.153846,4,True,Sparse
spring-framework,7,0.608476,0.384615,6,True,Sparse
spring-framework,8,0.405357,0.230769,4,True,Sparse
spring-framework,9,0.498978,0.307692,10,True,Sparse
spring-framework,10,0.405357,0.230769,4,True,Sparse
erpnext,1,0.484397,0.307692,6,True,Sparse
erpnext,2,0.370483,0.230769,5,True,Sparse
erpnext,3,0.762231,0.615385,19,True,Occasional
erpnext,4,0.527022,0.307692,7,True,Sparse
erpnext,5,0.608476,0.384615,6,True,Sparse
erpnext,6,0.498978,0.307692,10,True,Sparse
erpnext,7,0.405357,0.230769,4,True,Sparse
erpnext,9,0.345607,0.230769,20,True,Sparse
erpnext,10,0.551387,0.384615,11,True,Sparse
ohmyzsh,1,0.580998,0.538462,22,True,Sparse
ohmyzsh,2,0.418543,0.307692,8,True,Sparse
ohmyzsh,3,0.484397,0.307692,6,True,Sparse
ohmyzsh,4,0.729281,0.615385,17,True,Occasional
ohmyzsh,5,0.682189,0.538462,16,True,Occasional
ohmyzsh,6,0.681521,0.461538,10,True,Occasional
ohmyzsh,7,0.661121,0.461538,10,True,Occasional
ohmyzsh,8,0.447985,0.307692,9,True,Sparse
ohmyzsh,9,0.62152,0.461538,11,True,Occasional
ohmyzsh,10,0.582536,0.384615,8,True,Sparse
kafka,1,0.816675,0.692308,12,True,Consistent
kafka,2,0.582536,0.384615,8,True,Sparse
kafka,3,0.653809,0.461538,9,True,Occasional
kafka,4,0.771635,0.615385,12,True,Occasional
kafka,5,0.780867,0.692308,17,True,Occasional
kafka,6,0.661121,0.461538,10,True,Occasional
kafka,7,0.484397,0.307692,6,True,Sparse
kafka,8,0.527022,0.307692,7,True,Sparse
kafka,9,0.771809,0.615385,30,True,Occasional
kafka,10,0.653516,0.461538,12,True,Occasional
d3,1,0.46392,0.538462,31,True,Sparse
d3,4,0.248159,0.153846,6,True,Sparse
d3,6,0.405357,0.230769,4,True,Sparse
d3,8,0.248159,0.153846,3,True,Sparse
Rocket.Chat,1,0.925926,0.923077,115,True,Consistent
Rocket.Chat,2,0.927143,1.0,160,True,Consistent
Rocket.Chat,3,0.939286,1.0,100,True,Consistent
Rocket.Chat,4,0.935002,1.0,126,True,Consistent
Rocket.Chat,5,0.962758,1.0,154,True,Consistent
Rocket.Chat,6,0.94573,0.923077,132,True,Consistent
Rocket.Chat,7,0.934724,1.0,98,True,Consistent
Rocket.Chat,8,0.472917,0.307692,8,True,Sparse
Rocket.Chat,9,0.590931,0.384615,11,True,Sparse
Rocket.Chat,10,0.698555,0.461538,6,True,Occasional
azure-quickstart-templates,1,0.550875,0.461538,35,True,Sparse
azure-quickstart-templates,2,0.608476,0.384615,6,True,Sparse
