project_name,repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
core,core,2020-06-30,2025-06-29,0.500,no,no,67823,27,21,0.148148,0.333333,0.407407,0.592593,8,16,24,19,0.166667,0.333333,0.416667,0.625000,7,15,0,0,,,,,,,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,27,27
bootstrap,bootstrap,2020-06-30,2025-06-29,0.500,no,no,3185,88,27,0.522727,0.681818,0.727273,0.806818,1,10,46,22,0.434783,0.565217,0.630435,0.739130,2,13,10,9,0.200000,0.400000,0.600000,1.000000,4,7,32,5,0.750000,0.937500,1.000000,1.000000,1,2,True,88,88
dotfiles,dotfiles,2020-06-30,2025-06-29,0.500,no,no,4,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,0,0,,,,,,,True,1,1
Chart.js,Chart.js,2020-06-30,2025-06-29,0.500,no,no,1345,25,11,0.240000,0.560000,0.760000,0.960000,3,6,22,11,0.272727,0.545455,0.727273,0.954545,3,7,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,25,25
WordPress,WordPress,2020-06-30,2025-06-29,0.500,no,no,9381,30,7,0.433333,0.800000,0.933333,1.000000,2,3,30,7,0.433333,0.800000,0.933333,1.000000,2,3,0,0,,,,,,,0,0,,,,,,,True,30,30
react-native,react-native,2020-06-30,2025-06-29,0.500,no,no,17072,220,54,0.158140,0.325581,0.441860,0.655814,7,18,210,49,0.165854,0.331707,0.453659,0.678049,6,17,6,6,0.166667,0.500000,0.833333,1.000000,3,5,4,4,0.250000,0.750000,1.000000,1.000000,2,4,True,220,220
pdf.js,pdf.js,2020-06-30,2025-06-29,0.500,no,no,4691,29,10,0.482759,0.724138,0.827586,1.000000,2,5,25,10,0.440000,0.680000,0.800000,1.000000,2,5,0,0,,,,,,,4,2,0.750000,1.000000,1.000000,1.000000,1,2,True,29,29
DefinitelyTyped,DefinitelyTyped,2020-06-30,2025-06-29,0.500,no,no,19757,122,49,0.196721,0.483607,0.565574,0.663934,4,25,108,48,0.185185,0.453704,0.546296,0.648148,4,27,9,5,0.333333,0.777778,1.000000,1.000000,2,4,5,5,0.200000,0.600000,1.000000,1.000000,3,4,True,122,122
Python,Python,2020-06-30,2025-06-29,0.500,no,no,19874,90,37,0.211111,0.533333,0.600000,0.700000,3,19,73,33,0.205479,0.506849,0.589041,0.684932,3,19,12,6,0.333333,0.666667,0.916667,1.000000,2,4,5,4,0.400000,0.800000,1.000000,1.000000,2,3,True,90,90
grpc,grpc,2020-06-30,2025-06-29,0.500,no,no,10266,138,35,0.188406,0.442029,0.644928,0.789855,4,11,130,31,0.200000,0.461538,0.669231,0.815385,4,9,4,4,0.250000,0.750000,1.000000,1.000000,2,4,4,3,0.500000,1.000000,1.000000,1.000000,1,3,True,138,138
framework,framework,2020-06-30,2025-06-29,0.500,no,no,9961,398,22,0.298995,0.801508,0.919598,0.969849,2,3,393,22,0.302799,0.811705,0.923664,0.969466,2,3,3,2,0.666667,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,398,398
guava,guava,2020-06-30,2025-06-29,0.500,no,no,1651,47,8,0.782609,0.891304,0.934783,1.000000,1,2,15,6,0.600000,0.800000,0.933333,1.000000,1,3,24,2,0.958333,1.000000,1.000000,1.000000,1,1,8,3,0.571429,1.000000,1.000000,1.000000,1,2,True,47,47
flink,flink,2020-06-30,2025-06-29,0.500,no,no,14042,32,24,0.156250,0.281250,0.406250,0.562500,8,18,18,15,0.111111,0.333333,0.444444,0.722222,6,12,3,2,0.666667,1.000000,1.000000,1.000000,1,2,11,9,0.181818,0.454545,0.636364,1.000000,4,7,True,32,32
minimal-mistakes,minimal-mistakes,2020-06-30,2025-06-29,0.500,no,no,389,204,10,0.490196,0.960784,0.975490,1.000000,2,2,152,7,0.592105,0.973684,0.986842,1.000000,1,2,26,6,0.769231,0.884615,0.961538,1.000000,1,2,26,2,0.692308,1.000000,1.000000,1.000000,1,2,True,204,204
redis,redis,2020-06-30,2025-06-29,0.500,no,no,3175,68,30,0.352941,0.485294,0.573529,0.705882,4,17,51,23,0.450980,0.549020,0.627451,0.745098,2,13,8,7,0.250000,0.500000,0.750000,1.000000,3,6,9,7,0.222222,0.555556,0.777778,1.000000,3,6,True,68,68
ardupilot,ardupilot,2020-06-30,2025-06-29,0.500,no,no,25466,27,21,0.148148,0.296296,0.407407,0.592593,8,16,25,20,0.160000,0.320000,0.400000,0.600000,8,15,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,27,27
material-ui,material-ui,2020-06-30,2025-06-29,0.500,no,no,12754,584,66,0.340792,0.547332,0.648881,0.820998,3,10,310,62,0.496774,0.577419,0.645161,0.783871,2,12,176,15,0.211429,0.497143,0.691429,0.960000,4,7,98,14,0.229167,0.583333,0.739583,0.947917,3,6,True,584,584
